chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.9984375,-0.81,0,0,0,,[],,,,,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,,85,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,0.284375,-0.5075,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2953125,-0.535,1,0,0,LeftButton,"[""LeftButton""]",,,,2.4921875,3.935,space,,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,1.269,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.275,-0.5275,1,0,0,LeftButton,"[""LeftButton""]",53,2.526,space,,,,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,2.774,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.296875,-0.4575,1,0,0,RightButton,"[""RightButton""]",,,,3.171875,3.902,space,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,0.553,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2640625,-0.545,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,54.5770202,4.317,space,65.78282828,7.219,0,31,31,31,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,1.488,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.21875,-0.525,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,55,3.177,space,0.626,9,5.322,,,,,,0,32,32,32,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.246875,-0.4675,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,33,33,33,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,0.2484375,-0.5075,1,0,0,RightButton,"[""RightButton""]",42,3.39,space,,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,0.403,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,0.240625,-0.49,1,0,0,RightButton,"[""RightButton""]",,,,2.125,5.075,space,,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,1.528,,,,,,,,
