chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,0.243055556,-0.52,1,0,0,RightButton,"[""RightButton""]",41,1.471,space,,,,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,,0.224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322222222,-0.528888889,1,0,0,LeftButton,"[""LeftButton""]",49,1.839,space,,,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,,0.202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.306944444,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,46.91358025,2.145,space,14.36588103,3.247,0,24,24,24,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,0.477,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.258333333,-0.517777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,12,4.117,space,13,1.918,,,,,,0,25,25,25,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,0.134,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301388889,-0.515555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,7,1.815,space,7,3.697,,,,,,0,26,26,26,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,0.285,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.306944444,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,57.43546577,2.393,space,19.6969697,3.574,0,27,27,27,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,0.187,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.251388889,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",19,2.401,space,,,,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,,0.367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.322222222,-0.528888889,1,0,0,RightButton,"[""RightButton""]",12,1.706,space,,,,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,,0.217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,0.308333333,-0.484444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,17,2.981,space,9,1.717,,,,,,0,30,30,30,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,0.134,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297222222,-0.502222222,1,0,0,RightButton,"[""RightButton""]",,,,2.458333333,2.386,space,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,0.334,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.311111111,-0.508888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,85.21324355,5.946,space,14.36588103,1.78,0,32,32,32,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,0.084,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.305555556,-0.526666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,33,33,33,1,0,both_right.png,2,RandomDot25.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.351388889,-0.508888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,13,2.683,space,8,1.751,,,,,,0,34,34,34,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,0.367,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.319444444,-0.484444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,35,35,35,1,0,both_right.png,1,RandomDot29.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.348611111,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",35,2.221,space,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,,0.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268055556,-0.48,1,0,0,RightButton,"[""RightButton""]",,,,2.465277778,0.848,space,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,0.166,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.240277778,-0.535555556,1,0,0,RightButton,"[""RightButton""]",35,1.836,space,,,,,,,,,,,,,,0,38,38,38,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,,0.117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.319444444,-0.542222222,1,0,0,LeftButton,"[""LeftButton""]",40,1.87,space,,,,,,,,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,,0.214
