chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,0.493151855,-0.009967855,0,0,0,,[],,,,,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,,141,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.25690333,-0.519418945,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,11,1.8923,space,30,3.9742,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,2.5815,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.307463074,-0.508271213,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,25,25,25,1,0,both_right.png,2,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.245961931,-0.492764486,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.928855896,3.3025,space,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,0.7154,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.210159895,-0.508963216,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.243306139,-0.495537245,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.9599194,2.34,space,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,1.2332,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,0.203324551,-0.517968886,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,29,29,29,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,0.232400852,-0.493533529,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,8.94435707,5.5198,space,11.32376486,9.8849,0,30,30,30,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,1.2368,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.218298425,-0.527892253,1,0,0,LeftButton,"[""LeftButton""]",0,4.1235,space,0.7929,,,,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,0.303863949,-0.476649848,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,32,32,32,1,0,both_right.png,0,RandomDot36.png,No answer,21,,,,,,,,,
