chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.270833333,-0.531111111,1,0,0,LeftButton,"[""LeftButton""]",16,7.075,space,,,,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,2.382,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.352777778,-0.54,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,73.42873176,4.797,space,25.58922559,7.533,0,26,26,26,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,0.353,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,0.302777778,-0.5,1,0,0,RightButton,"[""RightButton""]",18,6.537,space,,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,3.05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277777778,-0.508888889,1,0,0,RightButton,"[""RightButton""]",,,,5,6.233,space,,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,1.674,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273611111,-0.497777778,1,0,0,LeftButton,"[""LeftButton""]",,,,4.944444444,4.5,space,,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,0.75,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.276388889,-0.54,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,17,3.315,space,1.823,15,8.131,,,,,,0,30,30,30,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.254166667,-0.544444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,15,4.582,space,1.109,13,6.601,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,0.254166667,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,81.14478114,4.08,space,42.98540965,8.46,0,32,32,32,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,1.193,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,0.248611111,-0.52,1,0,0,RightButton,"[""RightButton""]",,,,5,3.285,space,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.421,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.268055556,-0.531111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,68.65881033,4.732,space,41.8630752,7.345,0,34,34,34,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,0.717,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,0.255555556,-0.517777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,63,2.937,space,1.37,20,6.098,,,,,,0,35,35,35,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.25,-0.495555556,1,0,0,LeftButton,"[""LeftButton""]",58,3.171,space,,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,0.87,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.295833333,-0.517777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,37,37,37,1,0,both_right.png,3,RandomDot17.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.298611111,-0.515555556,0,0,0,,[],,,,,,,,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,,66,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.309722222,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,39,39,39,1,0,both_right.png,2,RandomDot24.png,No answer,21,,,,,,,,,
