﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,0.265625,-0.494444529,1,0,0,RightButton,"[""RightButton""]",,,,,4.463541508,1.9306,space,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,0.9893,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,-0.28125,-0.507407436,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,0.304166714,-0.494444529,1,0,0,RightButton,"[""RightButton""]",,,,,,,,85,2.302,space,8,3.5099,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,0.1889,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,0.294791698,-0.509259259,1,0,0,RightButton,"[""RightButton""]",17,1.7627,space,0.4624,,,,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,-0.347916643,-0.5,1,0,0,LeftButton,"[""LeftButton""]",36,1.8265,space,0.3089,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,0.325000048,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,30,30,30,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,-0.248958349,-0.496296353,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,75.77861953,2.8145,space,21.80135162,3.8419,0,31,31,31,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,0.1594,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,-0.257291635,-0.498148176,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,90.29882476,3.0024,space,9.911617767,3.9606,0,32,32,32,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,0.1541,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,0.285416683,-0.487037094,1,0,0,RightButton,"[""RightButton""]",,,,,,,,89,1.7008,space,9,2.4947,,,,,,0,33,33,33,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,0.1005,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,-0.316666683,-0.466666751,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,2,RandomDot23.png,No answer,19,,,,,,,,,,,,,
