﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.330599425,-0.547222268,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,1,RandomDot8.png,No answer,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.254051921,-0.486111155,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,82.14495574,1.934,space,15.17301315,2.8845,0,27,27,27,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,0.5682,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.306385451,-0.476388933,1,0,0,LeftButton,"[""LeftButton""]",74,1.5686,space,,,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,,0.2643,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,0.280999843,-0.518055601,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,29,29,29,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,0.245069455,-0.506944489,1,0,0,RightButton,"[""RightButton""]",,,,,,,71,1.9908,space,70,3.663,,,,,,0,30,30,30,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,1.269,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,0.247412747,-0.504166711,1,0,0,RightButton,"[""RightButton""]",,,,0.131784418,1.3167,space,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,0.312,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,0.311462644,-0.51944449,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,32,32,32,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.254051921,-0.529166712,1,0,0,LeftButton,"[""LeftButton""]",3,2.0446,space,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,,0.3782,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.287639112,-0.526388934,1,0,0,LeftButton,"[""LeftButton""]",,,,0.4402576,1.3957,space,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,1.0382,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,0.29896518,-0.512500045,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,35,35,35,1,0,both_right.png,0,RandomDot34.png,No answer,19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.271236065,-0.53194449,1,0,0,LeftButton,"[""LeftButton""]",20,2.7426,space,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,,0.527,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.255614068,-0.490277822,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,35.20937519,1.8818,space,76.22870639,2.558,0,37,37,37,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,0.3676,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.264987238,-0.525000045,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,12,1.9575,space,9,2.7681,,,,,,0,38,38,38,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,0.6635,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,0.266159086,-0.533333379,1,0,0,RightButton,"[""RightButton""]",,,,1.490628747,1.6282,space,,,,,,,,,,,0,39,39,39,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,0.23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.256395213,-0.468055599,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,82.14495574,7.2188,space,11.54437781,6.2732,0,40,40,40,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,2.471,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.257176311,-0.536111157,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,70,2.3365,space,73,2.9555,,,,,,0,41,41,41,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,0.4811,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.695821832,2.2096,4.733307045,3.1651,5.037875847,4.1858,2.634127403,5.5817,space,6.5595
