﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.282291667,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,52,4.5338,space,51,6.7178,,,,,,,0,26,26,26,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,1.241,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.277083333,-0.503703704,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.2875,-0.52962963,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,28,28,28,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,-0.3375,-0.531481481,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,58.83838384,3.0441,space,2.7295,39.37289562,5.8607,0,29,29,29,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.296875,-0.483333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,61.88973064,2.3068,space,0.7654,4.755892256,3.0113,0,30,30,30,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.238541667,-0.507407407,1,0,0,RightButton,"[""RightButton""]",88,2.821,space,,,,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,1.2002,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.290625,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,30.11363636,3.253,space,0.7372,72.72727273,3.973,0,32,32,32,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,0.358333333,-0.492592593,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,54.9452862,9.4694,space,6.1405,34.84848485,7.7014,0,33,33,33,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,-0.28125,-0.492592593,1,0,0,LeftButton,"[""LeftButton""]",39,4.54,space,,,,,,,,,,,,,,,0,34,34,34,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,1.074,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.328125,-0.501851852,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,35,35,35,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.305208333,-0.537037037,1,0,0,RightButton,"[""RightButton""]",25,2.699,space,,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,1.2229,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,0.303125,-0.538888889,1,0,0,RightButton,"[""RightButton""]",0,8.2555,space,,,,,,,,,,,,,,,0,37,37,37,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,3.5253,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.294791667,-0.544444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,74,1.4755,space,54,2.7073,,,,,,,0,38,38,38,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,0.9371,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.305208333,-0.487037037,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,43.16077441,5.3156,space,0.8613,72.41161616,6.3658,0,39,39,39,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.314583333,-0.498148148,1,0,0,LeftButton,"[""LeftButton""]",,,,0,2.3215,space,,,,,,,,,,,,0,40,40,40,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,1.2078,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.359375,-0.52962963,1,0,0,LeftButton,"[""LeftButton""]",,,,0.989583333,1.9324,space,,,,,,,,,,,,0,41,41,41,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,1.0002,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98125,5.6133,6,7.9152,4.975,9.7604,2.05,11.8651,space,14.5064
