﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt,incompleteTrials,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,-0.323569568,-0.522024367,1,0,0,LeftButton,"[""LeftButton""]",88,2.0577,space,,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,1.4187,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,-0.253270798,-0.468291235,1,0,0,LeftButton,"[""LeftButton""]",,,,4.044318614,2.4954,space,1.9396,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.247022042,-0.547016634,1,0,0,LeftButton,"[""LeftButton""]",93,2.4034,space,,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,1.8343,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.27865656,-0.533270853,1,0,0,RightButton,"[""RightButton""]",23,1.7536,space,,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,1.3267,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,-0.275922671,-0.513277177,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,19.03829124,2.1674,space,80.01510598,3.7693,0,28,28,28,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,1.4853,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,0.327084649,-0.533270853,1,0,0,RightButton,"[""RightButton""]",14,3.4784,space,,,,,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,2.8566,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,0.320054772,-0.5345205,1,0,0,RightButton,"[""RightButton""]",,,,3.173564916,0.5504,space,0.0595,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.306776068,-0.510777882,1,0,0,RightButton,"[""RightButton""]",,,,0.990823764,2.6211,space,0.035,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.247022042,-0.547016634,1,0,0,LeftButton,"[""LeftButton""]",48,2.6616,space,,,,,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,0.7932,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.279828135,-0.545766986,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,79,3.4339,space,51,4.5317,,,,,,0,33,33,33,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,0.3199,,,,,,,,,,,,,,,,
