chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,,181,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,,94,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,,61,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,,152,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,,62,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,29,29,29,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,24,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,,104,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,,76,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,32,32,32,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,,168,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,,148,,,,,
