chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.378757392,-0.526898345,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,47.78915966,5.0295,space,0.3706,26.40767896,5.831,0,21,21,21,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.363450641,-0.495023755,1,0,0,LeftButton,"[""LeftButton""]",,,,1.688413683,4.4118,space,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,0.4864,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.374076051,-0.514304145,1,0,0,LeftButton,"[""LeftButton""]",10,5.936,space,,,,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,0.1018,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.289319152,-0.522915301,1,0,0,LeftButton,"[""LeftButton""]",,,,2.444563075,4.6166,space,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,0.5506,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.285325641,-0.475231406,1,0,0,RightButton,"[""RightButton""]",,,,,,,13,4.4952,space,34,5.2183,,,,,,,0,25,25,25,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,7.4675,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.995873029,-0.586357307,0,0,0,,[],,,,,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,,169,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.217497536,-0.470613532,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,17.4792853,2.1166,space,0.5677,15.28607361,3.1665,0,27,27,27,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.953381652,-0.427117464,0,0,0,,[],,,,,,,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,,146,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.243696616,-0.496006717,1,0,0,RightButton,"[""RightButton""]",22,1.4911,space,,,,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,0.8008,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.233882227,-0.529099771,1,0,0,RightButton,"[""RightButton""]",,,,1.06633952,0.8622,space,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,0.9006,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313875657,-0.521696838,1,0,0,LeftButton,"[""LeftButton""]",,,,0.823546321,3.6925,space,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,,0.7182,,,,,,
