chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.329378255,-0.504453125,1,0,0,LeftButton,"[""LeftButton""]",79,2.3758,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,1.2511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.369807943,-0.485512153,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,67.21643519,3.0203,space,0.3343,29.98430485,4.35,0,30,30,30,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.306445313,-0.484192708,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,75,2.7732,space,32,3.6859,,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,0.4175,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.251264106,-0.498454861,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,32,32,32,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.271126302,-0.503550347,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,74,1.5374,space,37,2.7873,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,1.0361,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.356293403,-0.491875,1,0,0,LeftButton,"[""LeftButton""]",55,2.479,space,,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,0.4287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.253781467,-0.465564236,1,0,0,LeftButton,"[""LeftButton""]",61,1.6883,space,,,,,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,0.3886
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.330230035,-0.477934028,1,0,0,RightButton,"[""RightButton""]",,,,1.932047526,2.4606,space,,,,,,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,0.3174,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.290538194,-0.495711806,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,72,2.0575,space,30,3.2698,,,,,,,0,37,37,37,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.9848,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.260080295,-0.510425347,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,79.45963542,1.5498,space,0.702,30.76248597,2.5197,0,38,38,38,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.249397786,-0.504748264,1,0,0,RightButton,"[""RightButton""]",,,,,,,81,1.6232,space,30,2.6268,,,,,,,0,39,39,39,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,0.4993,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.274332682,-0.495234375,1,0,0,RightButton,"[""RightButton""]",,,,,,,78,2.1399,space,31,4.1044,,,,,,,0,40,40,40,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,0.7504,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.293196615,-0.491223958,1,0,0,RightButton,"[""RightButton""]",,,,1.985243056,2.2053,space,,,,,,,,,,,,0,41,41,41,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,0.4049,
