chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.233302851,-0.49866453,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,3.1725,space,9,5.6903,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,1.463,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.266468529,-0.512108262,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.39101535,4.4337,space,0.844691873,7.9304,0,32,32,32,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,0.9341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.253429301,-0.519086093,1,0,0,RightButton,"[""RightButton""]",8,5.4761,space,4.6796,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,0.233413219,-0.532307247,1,0,0,RightButton,"[""RightButton""]",0,5.0533,space,2.7623,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,0.267280525,-0.460581375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,99.69520508,4.7894,space,0.506260893,7.7302,0,35,35,35,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,0.6838,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.262558338,-0.461237981,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,36,36,36,1,0,both_right.png,3,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.229810482,-0.545695335,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.507765199,1.7194,space,,,,,,,,,,,0,37,37,37,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,0.4621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.286839367,-0.523604434,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,95.49069785,4.6225,space,3.114966517,6.319,0,38,38,38,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,2.1007,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.269330222,-0.517962073,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,39,39,39,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.222612891,-0.476495726,1,0,0,RightButton,"[""RightButton""]",,,,,,,,10,3.7824,space,9,5.7216,,,,,,0,40,40,40,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,0.9199,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.269550959,-0.464387464,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,88.46487071,5.7649,space,3.98373875,11.3427,0,41,41,41,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,0.3159,
