chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.378920152,-0.49425076,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.327815247,-0.544287652,1,0,0,RightButton,"[""RightButton""]",,,,0.095946842,5.321,space,,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,1.101,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.308178965,-0.516180013,1,0,0,LeftButton,"[""LeftButton""]",,,,0.085456,3.9803,space,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,0.3003,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,0.216728295,-0.516487901,1,0,0,RightButton,"[""RightButton""]",85,2.4107,space,,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,0.3337,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.240811751,-0.523064914,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,4.28047223,2.8,space,0.4699,62.47137136,5.5352,0,28,28,28,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,0.347786204,-0.500584852,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,4.447698111,1.9798,space,0.5904,45.335991,3.2646,0,29,29,29,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.330073547,-0.539644911,1,0,0,RightButton,"[""RightButton""]",5,1.9835,space,,,,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,0.4438,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.241029188,-0.295972087,0,0,0,,[],,,,,,,,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,98,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.346655273,-0.481990017,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,65.53640997,1.5267,space,0.7483,70.52469821,2.5585,0,32,32,32,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.259573364,-0.527158339,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,33,33,33,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
