key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
,,,,,,4,0.2632,0,17,17,23,1,24,image/24.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.2758,0,18,18,47,1,48,image/48.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,0.2061,0,19,19,21,1,22,image/22.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,1,0.2811,0,20,20,26,1,27,image/27.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,4,0.6345,0,21,21,17,1,18,image/18.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,0.4164,0,22,22,49,1,50,image/50.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.3172,0,23,23,39,1,40,image/40.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,8.8314,0,24,24,35,1,36,image/36.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.2425,0,25,25,31,1,32,image/32.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.1969,0,26,26,10,1,11,image/11.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,1.0733,0,27,27,1,1,2,image/2.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
