chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.317979601,-0.505529514,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,2,2.6151,space,7,1.5146,,,,,,0,29,29,29,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,,0.5377,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.30710178,-0.497899306,1,0,0,LeftButton,"[""LeftButton""]",1,2.7495,space,,,,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,0.6678,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297840712,-0.507352431,1,0,0,LeftButton,"[""LeftButton""]",0,1.6586,space,,,,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,0.805,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.226291233,-0.506536458,1,0,0,LeftButton,"[""LeftButton""]",,,,0.008056641,3.3021,space,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,0.8872,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.311029731,-0.506432292,1,0,0,LeftButton,"[""LeftButton""]",,,,0.055230035,2.3495,space,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,0.7903,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.33882921,-0.496961806,1,0,0,RightButton,"[""RightButton""]",,,,,,,5,2.1652,space,7,3.308,,,,,,0,34,34,34,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,,,0.3108,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269932726,-0.505824653,1,0,0,LeftButton,"[""LeftButton""]",3,2.4125,space,,,,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,0.7414,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.324419488,-0.505034722,1,0,0,LeftButton,"[""LeftButton""]",3,2.0339,space,,,,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,1.196,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.307378472,-0.498671875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,90.0796156,3.0666,space,11.66745581,4.0824,0,37,37,37,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,0.6385,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275287543,-0.498637153,1,0,0,LeftButton,"[""LeftButton""]",3,2.4853,space,,,,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,0.6694,,,,,,,,
