chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.265195541,-0.472367575,1,0,0,LeftButton,"[""LeftButton""]",100,2.727,space,,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,0.7003,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.264281798,-0.529422942,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,78,5.3274,space,60,2.4589,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,0.7115,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,0.224319262,-0.517642072,1,0,0,RightButton,"[""RightButton""]",,,,,,,,50,43.1395,space,21,40.5176,,,,,,0,26,26,26,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,0.5923,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,0.296349598,-0.478396866,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,80.12028177,8.4266,space,9.466743458,5.6854,0,27,27,27,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,0.3154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.328915387,-0.491412827,1,0,0,LeftButton,"[""LeftButton""]",100,2.028,space,,,,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,0.9471,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.237655336,-0.493481057,1,0,0,LeftButton,"[""LeftButton""]",,,,1.005071272,3.7943,space,0.7692,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,0.230427632,-0.509208372,1,0,0,RightButton,"[""RightButton""]",,,,4.820289656,4.8506,space,0.9213,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.283744518,-0.460425924,1,0,0,LeftButton,"[""LeftButton""]",33,3.8349,space,,,,,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,0.9013,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.235361842,-0.484557706,1,0,0,LeftButton,"[""LeftButton""]",,,,2.492027595,2.6601,space,0.2524,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.226946272,-0.465812091,1,0,0,LeftButton,"[""LeftButton""]",,,,2.537326389,2.2352,space,0.4673,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.255231177,-0.516538529,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,0.278362573,-0.508740645,1,0,0,RightButton,"[""RightButton""]",91,1.9776,space,,,,,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,0.5619,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.250808662,-0.499108396,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,10,3.2289,space,2,6.6175,,,,,,0,36,36,36,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,0.7336,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291154971,-0.495140026,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,37,37,37,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.270230263,-0.506782039,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,81.96115025,6.3865,space,30.66188198,3.5337,0,38,38,38,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,0.695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,0.387276133,-0.497800222,1,0,0,RightButton,"[""RightButton""]",,,,0,7.0874,space,1.5571,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.26232182,-0.481342084,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,75,5.4061,space,60,3.341,,,,,,0,40,40,40,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,0.7828,
