chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.297005505,-0.528192681,1,0,0,LeftButton,"[""LeftButton""]",85,9.7783,space,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,,,10.9525,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.251469591,-0.532707248,1,0,0,RightButton,"[""RightButton""]",79,5.1483,space,,,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,,,1.4242,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.268621657,-0.525822076,1,0,0,LeftButton,"[""LeftButton""]",,,,4.863967896,3.2056,space,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,1.2681,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.332958476,-0.525949978,1,0,0,LeftButton,"[""LeftButton""]",12,3.6275,space,,,,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,,1.2391,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.236917284,-0.494441325,1,0,0,RightButton,"[""RightButton""]",,,,0.461440616,5.4716,space,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,6.011,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.311976793,-0.535545519,1,0,0,RightButton,"[""RightButton""]",10,5.785,space,,,,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,,,5.51,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.256715393,-0.52692749,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,82.9616902,4.1827,space,41.57488788,6.0382,0,32,32,32,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,1.0591,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.283013407,-0.497127957,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,33,33,33,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.245502218,-0.520204264,1,0,0,RightButton,"[""RightButton""]",2,5.8488,space,,,,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,,,0.6101,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.227505324,-0.497259793,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,82.81936046,9.3075,space,17.86048624,12.3112,0,35,35,35,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,0.4513,,,,,,,,,
