chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,incompleteTrials,key_forgiveness.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.260910927,-0.514877717,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,3.9487,space,0,7.3868,,,,,,0,25,25,25,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,0.7726,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,0.331478529,-0.52044837,1,0,0,RightButton,"[""RightButton""]",,,,,1.007573342,1.9902,space,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,,0.7511,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.30227466,-0.523361073,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,5.6907,space,0,7.8897,0,27,27,27,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,0.6691,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.24453125,-0.531725543,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,100,6.5701,space,50,27.1176,,,,,,0,28,28,28,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.985,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269775723,-0.500883152,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.010257228,6.4545,space,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,,0.6676,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.325558036,-0.541109035,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.009194303,2.5552,space,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,,0.6507,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.352646684,-0.52196841,1,0,0,LeftButton,"[""LeftButton""]",0,1.8198,space,0.4137,,,,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,0.235134991,-0.53111413,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,2.8353,space,0,7.2198,,,,,,0,32,32,32,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.3036,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.282350128,-0.514792799,1,0,0,LeftButton,"[""LeftButton""]",86,5.7037,space,0.8522,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.289716199,-0.541915761,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.87159005,4.8324,space,0.033390882,7.0696,0,34,34,34,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,0.238,,,,,,
