chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.285295841,-0.504529873,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,7,2.9956,space,29,6.2239,,,,,,0,25,25,25,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,0.7339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.260691271,-0.50577952,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,83.95927702,4.0189,space,33.94723959,6.6343,0,26,26,26,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,0.435,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,0.302089483,-0.523274015,1,0,0,RightButton,"[""RightButton""]",1,2.8222,space,0.3841,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.257566929,-0.472040064,1,0,0,RightButton,"[""RightButton""]",,,,,0.268449838,2.9041,space,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,0.8391,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,0.266159049,-0.522024367,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,29,29,29,1,0,both_right.png,3,RandomDot26.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.293106767,-0.490784206,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.686255247,3.9414,space,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,0.2505,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.334895576,-0.508278701,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,76.54423488,3.4018,space,36.78703928,4.8998,0,31,31,31,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,0.3253,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.237648873,-0.490784206,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,5,4.8597,space,27,6.8187,,,,,,0,32,32,32,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,0.3172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,0.267721148,-0.543267805,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,3.7364,space,8,5.4549,,,,,,0,33,33,33,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,0.2383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.261472464,-0.518275539,1,0,0,RightButton,"[""RightButton""]",17,3.1666,space,0.5006,,,,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,
