chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.300863487,-0.519914932,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,31.20920462,2.7044,space,28.69318182,4.1931,0,24,24,24,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,4.4953,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.099378655,-0.651960068,0,0,0,,[],,,,,,,,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,,173,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.099378655,-0.651960068,0,0,0,,[],,,,,,,,,,,,,,,,,,0,26,26,26,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,192,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.325475146,-0.52740587,1,0,0,RightButton,"[""RightButton""]",,,,4.993352522,4.5809,space,1.2607,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.324977156,-0.516801625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,32,3.734,space,30,6.4486,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,1.0563,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.211380665,-0.505064605,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,29.85520409,4.8303,space,27.31933738,7.2198,0,29,29,29,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,0.6383,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.264674708,-0.53654116,1,0,0,RightButton,"[""RightButton""]",,,,,,,,38,2.9477,space,42,5.6618,,,,,,0,30,30,30,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,2.1754,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.232145468,-0.460579397,1,0,0,RightButton,"[""RightButton""]",,,,4.932223136,4.2501,space,1.9263,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.317621528,-0.509844188,1,0,0,LeftButton,"[""LeftButton""]",44,2.3086,space,,,,,,,,,,,,,,,0,32,32,32,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,1.3762,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.342429642,-0.508097521,1,0,0,RightButton,"[""RightButton""]",67,4.433,space,,,,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,1.7703,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.230957602,-0.515391137,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281857639,-0.535693405,1,0,0,RightButton,"[""RightButton""]",,,,4.988623904,4.2523,space,2.6907,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.205656067,-0.49516195,1,0,0,RightButton,"[""RightButton""]",25,2.6696,space,,,,,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,1.6824,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.211494883,-0.490733162,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,32.76118273,2.3674,space,34.9670868,3.4166,0,37,37,37,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,1.5835,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.328216374,-0.50818522,1,0,0,RightButton,"[""RightButton""]",,,,4.972793311,2.1787,space,1.4398,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,,,,,,,
