chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.253016493,-0.513702436,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,30,1.6864,space,42,2.5362,,,,,,0,14,14,14,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,0.7838,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,0.291596137,-0.457981419,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,29.9305994,1.6765,space,47.91315937,3.1198,0,15,15,15,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,0.9327,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.28062066,-0.513524627,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.320654297,-0.523748666,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,28,2.8869,space,49,3.6799,,,,,,0,17,17,17,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,0.5722,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.239811198,-0.537206615,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,1,RandomDot36.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,0.302354601,-0.537662251,1,0,0,RightButton,"[""RightButton""]",,,,,4.980875651,8.4902,space,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,0.8679,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.279486762,-0.525837927,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,30.74330545,1.9723,space,40.51769869,3.0361,0,20,20,20,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,0.7181,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.235248481,-0.530149804,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.99335395,2.8081,space,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,0.785,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.252056207,-0.52268181,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,31,1.8371,space,53,2.6903,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,0.7843,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.337505425,-0.463249022,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,32,1.1124,space,55,2.12,,,,,,0,23,23,23,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,0.6664,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.261328125,-0.519747955,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,24.81433256,1.3903,space,52.19534757,2.1841,0,24,24,24,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,0.5342,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.021733941,-0.378156117,0,0,0,,[],,,,,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,,54,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.344569227,-0.545730352,1,0,0,RightButton,"[""RightButton""]",,,,,,,,27,1.5876,space,52,2.4706,,,,,,0,26,26,26,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,0.4061,,,,,,,
