chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.2625,-0.52,1,0,0,RightButton,"[""RightButton""]",52,1.82,space,,,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,,0.72,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.208333333,-0.54,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,14,2.751,space,50,4.8,,,,,,0,28,28,28,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,0.217,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.234722222,-0.462222222,1,0,0,LeftButton,"[""LeftButton""]",,,,2.722222222,1.186,space,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,,0.535,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.319444444,-0.504444444,1,0,0,LeftButton,"[""LeftButton""]",,,,2.645833333,1.021,space,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,,0.325,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.027777778,0.015555556,0,0,0,,[],,,,,,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,,,153,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.255555556,-0.524444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,50,0.97,space,46,1.901,,,,,,0,32,32,32,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.568,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2625,-0.491111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,33,33,33,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.205555556,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,52.38496072,1.362,space,43.12570146,3.312,0,34,34,34,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,1.204,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.202777778,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",52,4.823,space,,,,,,,,,,,,,,0,35,35,35,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,0.671,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269444444,-0.513333333,1,0,0,LeftButton,"[""LeftButton""]",,,,2.493055556,1.448,space,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,,0.42,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.252777778,-0.486666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,37,37,37,1,0,both_right.png,0,RandomDot20.png,No answer,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.268055556,-0.526666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,51.40291807,2.65,space,46.21212121,1.9,0,38,38,38,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,0.274,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.0125,0.286666667,0,0,0,,[],,,,,,,,,,,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,,,162,,,,,
