chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.249669054,-0.478559028,1,0,0,RightButton,"[""RightButton""]",,,,,,,,38,3.3336,space,34,4.2741,,,,,,0,31,31,31,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,0.4918,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.301508247,-0.533116319,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,32,32,32,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.268630642,-0.493029514,1,0,0,RightButton,"[""RightButton""]",,,,,3.059814453,2.3203,space,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,0.3344,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301828342,-0.510564236,1,0,0,RightButton,"[""RightButton""]",,,,,3.224663628,1.8538,space,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,0.5108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.238145616,-0.489869792,1,0,0,RightButton,"[""RightButton""]",,,,,,,,91,6.6989,space,84,7.645,,,,,,0,35,35,35,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,1.1501,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.299028863,-0.488090278,1,0,0,RightButton,"[""RightButton""]",,,,,,,,60,4.8818,space,57,5.8374,,,,,,0,36,36,36,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,0.4309,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.288699002,-0.498645833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,56.32957176,3.3437,space,56.00131085,4.2398,0,37,37,37,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,0.4514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.282443576,-0.483819444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,48.22717189,2.2198,space,44.67932362,3.9725,0,38,38,38,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,0.3167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.243918186,-0.501527778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,39,39,39,1,0,both_right.png,1,RandomDot35.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.340044488,-0.505286458,1,0,0,RightButton,"[""RightButton""]",32,2.4205,space,0.5008,,,,,,,,,,,,,,0,40,40,40,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,
