chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.263721553,-0.476088595,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.957385368,1.563,space,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,0.3518,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.344042838,-0.521770208,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.229808067,-0.468950749,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,70,3.0579,space,20,4.5395,,,,,,0,32,32,32,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,0.2321
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.239625167,-0.476088595,1,0,0,RightButton,"[""RightButton""]",13,2.5311,space,0.3395,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.213743892,-0.517487552,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,13.53539998,3.4971,space,50.40566306,5.5809,0,34,34,34,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,0.6513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301204819,-0.497501872,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,21.91910727,6.8401,space,83.03900775,9.4341,0,35,35,35,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,0.8632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269968791,-0.536045769,1,0,0,RightButton,"[""RightButton""]",48,3.2057,space,1.0206,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.352967412,-0.513204897,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,85.83356997,6.3722,space,19.48512894,7.392,0,37,37,37,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,0.5212,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.302989791,-0.463180881,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,38,38,38,1,0,both_right.png,3,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.352074967,-0.522440194,1,0,0,RightButton,"[""RightButton""]",,,,,,,,22,2.8005,space,22,5.973,,,,,,0,39,39,39,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,0.5258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.251227076,-0.524183007,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,14,2.3239,space,18,4.2703,,,,,,0,40,40,40,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,2.4178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25479702,-0.510239705,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,33.99884887,10.8393,space,62.12482077,13.5454,0,41,41,41,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,0.8949,
