chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318055556,-0.5,1,0,0,RightButton,"[""RightButton""]",63,3.355,space,,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,1.652
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.329166667,-0.486666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,34,13.715,space,3.829,7,11.113,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.263888889,-0.471111111,1,0,0,LeftButton,"[""LeftButton""]",,,,4.9375,6.215,space,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,1.093,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,0.3,-0.506666667,1,0,0,RightButton,"[""RightButton""]",,,,4.916666667,4.699,space,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,1.006,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,0.327777778,-0.506666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,0,RandomDot36.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.266666667,-0.54,1,0,0,RightButton,"[""RightButton""]",,,,4.055555556,7.883,space,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,0.629,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3125,-0.52,1,0,0,RightButton,"[""RightButton""]",,,,4.451388889,2.084,space,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,2.478,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.326388889,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,77.07631874,4.894,space,38.07519641,8.795,0,34,34,34,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,0.976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.275,-0.48,1,0,0,RightButton,"[""RightButton""]",,,,,,,89,4.864,space,0.441,4,7.165,,,,,,0,35,35,35,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.254166667,-0.535555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,76.37485971,3.679,space,21.52076319,5.562,0,36,36,36,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,0.296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.311111111,-0.526666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,64.59034792,2.897,space,22.64309764,4.63,0,37,37,37,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,0.755,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297222222,-0.535555556,1,0,0,RightButton,"[""RightButton""]",,,,4.916666667,2.816,space,,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,0.564,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.311111111,-0.526666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,58.1369248,4.36,space,32.88439955,9.245,0,39,39,39,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,1.636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.225,-0.486666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,40,40,40,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.233333333,-0.54,1,0,0,RightButton,"[""RightButton""]",,,,4.979166667,2.131,space,,,,,,,,,,,,0,41,41,41,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,0.699,,
