chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_apology.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,0.225510204,-0.490692935,1,0,0,RightButton,"[""RightButton""]",33,4.7942,space,,,,,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,,0.5163,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,0.305474065,-0.539631454,1,0,0,RightButton,"[""RightButton""]",44,4.3551,space,,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,,1.3413,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.317447917,-0.515752378,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,29.61438363,1.8044,space,36.05205971,5.1808,0,27,27,27,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,1.2213,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.26306335,-0.468053668,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,28,28,28,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.256372236,-0.497019361,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,86.51631107,5.0157,space,16.04598279,8.9572,0,29,29,29,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,0.7831,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,0.249845876,-0.517552649,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,93.23421288,5.7572,space,3.208208789,7.6217,0,30,30,30,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,1.0632,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2359375,-0.506521739,1,0,0,LeftButton,"[""LeftButton""]",6,2.7604,space,,,,,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,,0.8511,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,0.272879464,-0.495278533,1,0,0,RightButton,"[""RightButton""]",,,,,,,,68,4.4024,space,89,7.8765,,,,,,0,32,32,32,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,0.9448,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.246200043,-0.48138587,1,0,0,LeftButton,"[""LeftButton""]",,,,3.510894983,3.7251,space,1.1038,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29801233,-0.458636209,1,0,0,RightButton,"[""RightButton""]",,,,3.96875,3.1839,space,0.8195,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,,,,,,,
