chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.213762811,-0.513020833,1,0,0,RightButton,"[""RightButton""]",71,2.545,space,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,,0.5836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.292825769,-0.541666667,1,0,0,RightButton,"[""RightButton""]",76,2.138,space,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,,0.3369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.281112738,-0.5390625,1,0,0,RightButton,"[""RightButton""]",,,,,,,84,2.5267,space,62,10.4335,,,,,,0,28,28,28,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,6.5109,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.257686676,-0.515625,1,0,0,RightButton,"[""RightButton""]",,,,,,,80,2.2739,space,49,4.5997,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,0.5586,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,0.245973646,-0.533854167,1,0,0,RightButton,"[""RightButton""]",62,2.8523,space,,,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,,0.3011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.294289898,-0.513020833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,89.19132762,2.8196,space,18.6469379,4.5336,0,31,31,31,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,0.3051,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.273792094,-0.505208333,1,0,0,RightButton,"[""RightButton""]",,,,,,,63,4.0228,space,59,6.3129,,,,,,0,32,32,32,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,0.2663,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29136164,-0.536458333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,89.93078664,3.0416,space,24.11893459,4.6787,0,33,33,33,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,0.2839,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.267935578,-0.5078125,1,0,0,LeftButton,"[""LeftButton""]",50,3.0255,space,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,,0.3429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29136164,-0.5234375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,86.08559978,2.5692,space,14.06229203,5.5926,0,35,35,35,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,0.2857,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.361639824,-0.515625,1,0,0,RightButton,"[""RightButton""]",53,2.1251,space,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,,0.3191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.27818448,-0.53125,1,0,0,RightButton,"[""RightButton""]",,,,,,,50,4.1226,space,71,7.4164,,,,,,0,37,37,37,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,0.2862,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.256222548,-0.494791667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,78.98679326,3.4854,space,26.78098703,7.0327,0,38,38,38,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,1.0373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.319180088,-0.494791667,1,0,0,LeftButton,"[""LeftButton""]",,,,2.719619327,2.8932,space,,,,,,,,,,,0,39,39,39,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,0.2711,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281112738,-0.526041667,1,0,0,RightButton,"[""RightButton""]",,,,,,,67,4.1966,space,66,7.4486,,,,,,0,40,40,40,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,0.3709,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,0.269399707,-0.486979167,1,0,0,RightButton,"[""RightButton""]",52,2.4713,space,,,,,,,,,,,,,,0,41,41,41,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,,0.4038
