chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.267887307,-0.541777697,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,0.22457167,-0.49889979,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,0.278698118,-0.500514777,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,76.26652627,1.7005,space,0.5853,3.726453726,2.4172,0,28,28,28,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.259634411,-0.506177326,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,10,5.2147,space,74,6.1646,,,,,,,0,29,29,29,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,3.1694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.312596525,-0.495336725,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,3.529,space,63,4.7208,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,0.4892,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.327401062,-0.514787225,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,78.86673199,6.2937,space,0.423,8.105426855,7.4353,0,31,31,31,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.288694498,-0.494246609,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,4.0616,space,85,5.037,,,,,,,0,32,32,32,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,0.335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,0.319558398,-0.513222707,1,0,0,RightButton,"[""RightButton""]",,,,0.033421815,3.7787,space,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,0.6826,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.312741313,-0.510245074,1,0,0,LeftButton,"[""LeftButton""]",0,2.6379,space,,,,,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,0.5196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.303861004,-0.529120236,1,0,0,LeftButton,"[""LeftButton""]",,,,0.09308639,7.4627,space,,,,,,,,,,,,0,35,35,35,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,0.654,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,0.267814913,-0.498304264,1,0,0,RightButton,"[""RightButton""]",0,3.6129,space,,,,,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,0.3892
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,0.331117278,-0.521650921,1,0,0,RightButton,"[""RightButton""]",,,,0.024191602,2.1032,space,,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,0.4851,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.301876207,-0.509306363,1,0,0,LeftButton,"[""LeftButton""]",0,3.9295,space,,,,,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,0.3334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.290401786,-0.493449209,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,71.03564604,2.1848,space,0.9077,4.043938419,3.3012,0,39,39,39,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25875362,-0.511971092,1,0,0,RightButton,"[""RightButton""]",,,,0.032607384,2.7199,space,,,,,,,,,,,,0,40,40,40,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,0.273,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3I4v4hVO3BKl5to,1,2024-05-28_10h32.08.936,interaction task,2021.2.3,MacIntel,63.69426752,120750,,,,,,,,,,,,,,,,,Greater,Smaller,,0.346500965,-0.528534803,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,76.04897917,5.2432,space,0.2276,5.188955189,6.0686,0,41,41,41,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,
