chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.256944444,-0.482926829,1,0,0,RightButton,"[""RightButton""]",,,,,,,60,1.797,space,37,2.763,,,,,,0,25,25,25,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,0.288,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.330555556,-0.541463415,1,0,0,LeftButton,"[""LeftButton""]",19,1.457,space,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,0.271,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.319444444,-0.517073171,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,41.72278339,1.647,space,38.21548822,2.395,0,27,27,27,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,0.352,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.275,-0.512195122,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,59.96071829,2.281,space,41.02132435,3.08,0,28,28,28,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,0.289,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268055556,-0.480487805,1,0,0,RightButton,"[""RightButton""]",,,,0.534722222,1.899,space,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,,0.252,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.241666667,-0.529268293,1,0,0,RightButton,"[""RightButton""]",,,,0.527777778,1.399,space,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,,0.296,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.288888889,-0.507317073,1,0,0,RightButton,"[""RightButton""]",,,,,,,57,1.784,space,35,2.816,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,0.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.305555556,-0.497560976,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,93.91133558,2.646,space,90.12345679,3.913,0,32,32,32,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,1.254,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.331944444,-0.502439024,1,0,0,LeftButton,"[""LeftButton""]",11,1.755,space,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,0.255,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2,-0.504878049,1,0,0,RightButton,"[""RightButton""]",,,,,,,39,3.398,space,28,4.331,,,,,,0,34,34,34,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,0.422,,,,,,,,,
