chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,incompleteTrials,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.288579875,-0.538275194,0,0,0,,[],,,,,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,186,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.255658784,-0.517875888,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,6.2879,space,89,13.4633,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,1.165,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.295294402,-0.508821867,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,2.12,space,100,5.7614,,,,,,,0,26,26,26,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,0.612,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.31074445,-0.51603884,1,0,0,RightButton,"[""RightButton""]",38,4.713,space,,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,0.4552,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.293973214,-0.50599564,1,0,0,RightButton,"[""RightButton""]",0,6.6799,space,,,,,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,0.6673,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,0.260014479,-0.538113695,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,1.7725,space,100,3.5893,,,,,,,0,29,29,29,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,0.6705,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.267742519,-0.524315649,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,20.78043953,6.9199,space,1.7348,48.75870188,5.7775,0,30,30,30,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.298558156,-0.494024548,1,0,0,RightButton,"[""RightButton""]",21,2.4885,space,,,,,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,0.4624,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.259411197,-0.514645914,1,0,0,LeftButton,"[""LeftButton""]",0,2.5308,space,,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,0.6502,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.303740347,-0.501988453,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,7.0744,space,60,8.3233,,,,,,,0,33,33,33,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,0.8432,,,,,,,
