chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.305208302,-0.503703817,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,3.6428,space,18,9.2427,,,,,,0,26,26,26,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,5.8433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,0.288541698,-0.529629686,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,3.5917,space,20,5.8043,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,1.7652
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.217708302,-0.520370483,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,28,28,28,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.261458302,-0.492592706,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.96875,2.2604,space,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,0.9652,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.272916651,-0.53703715,1,0,0,LeftButton,"[""LeftButton""]",50,4.8253,space,0.9105,,,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.241666651,-0.540740797,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.96875,2.6476,space,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,1.8297,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,0.244791698,-0.53703715,1,0,0,RightButton,"[""RightButton""]",,,,,,,,48,3.1466,space,19,5.9578,,,,,,0,32,32,32,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,0.8403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.260416651,-0.494444444,1,0,0,LeftButton,"[""LeftButton""]",0,3.1331,space,1.1973,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.266666651,-0.531481595,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,3.2541,space,0.441919192,5.4517,0,34,34,34,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,0.9374,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,0.240625,-0.475926039,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,3.7624,space,19,5.4199,,,,,,0,35,35,35,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,1.3397
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.285416651,-0.544444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,80.3030303,10.5634,space,10.43771204,15.4367,0,36,36,36,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,6.5333,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,0.216666698,-0.533333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,37,37,37,1,0,both_right.png,0,RandomDot27.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.314583302,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",20,4.7504,space,3.1017,,,,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.284375,-0.483333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,25,5.3471,space,18,7.9033,,,,,,0,39,39,39,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,1.5166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291666651,-0.514814928,1,0,0,LeftButton,"[""LeftButton""]",0,3.4443,space,0.6409,,,,,,,,,,,,,,0,40,40,40,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,0.242708397,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.15825237,5.4803,space,28.21969697,14.8975,0,41,41,41,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,6.0263,,
