chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,incompleteTrials,key_guilt.rt,key_forgiveness.rt,key_apology.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.319791667,-0.531481481,1,0,0,LeftButton,"[""LeftButton""]",,,,3.776041667,2.4393,space,,,,,,,,,,,0,33,33,41,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,,,1.767,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.354166667,-0.496296296,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,34,34,48,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.313541667,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,76,1.7211,space,69,0.9915,,,,,,0,35,35,43,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,,1.2792,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.257291667,0.440740741,0,0,0,,[],,,,,,,,,,,,,,,,,0,36,36,16,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,151,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297916667,-0.516666667,1,0,0,LeftButton,"[""LeftButton""]",37,4.6635,space,,,,,,,,,,,,,,0,37,37,24,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,1.0247,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295833333,-0.527777778,1,0,0,RightButton,"[""RightButton""]",65,4.6196,space,,,,,,,,,,,,,,0,38,38,14,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,1.0356,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.198958333,0.196296296,0,0,0,,[],,,,,,,,,,,,,,,,,0,39,39,49,1,5,both_right.png,10,RandomDot42.png,RightButton,19,163,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.357291667,-0.494444444,1,0,0,RightButton,"[""RightButton""]",,,,3.901041667,3.7759,space,,,,,,,,,,,0,40,40,28,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,,,10.9813,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.279166667,-0.509259259,1,0,0,RightButton,"[""RightButton""]",,,,,,,60,2.0595,space,66,1.4834,,,,,,0,41,41,20,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,,0.7871,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301041667,-0.531481481,1,0,0,RightButton,"[""RightButton""]",96,1.5157,space,,,,,,,,,,,,,,0,42,42,12,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,0.9626,,,,,,,,
