chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322395802,-0.5,1,0,0,LeftButton,"[""LeftButton""]",0,3.0653,space,0.791,,,,,,,,,,,,,,0,24,24,46,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.274479198,-0.510185242,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,10.7285,space,0,12.6978,,,,,,0,25,25,9,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,1.7027,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.343229151,-0.476851908,1,0,0,LeftButton,"[""LeftButton""]",,,,,1,7.4986,space,,,,,,,,,,,0,26,26,21,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,2.4824,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.278125,-0.499074131,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,27,27,39,1,0,both_right.png,0,RandomDot27.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.180729198,0.01851849,0,0,0,,[],,,,,,,,,,,,,,,,,,0,28,28,30,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,,90,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.233333302,-0.496296353,1,0,0,LeftButton,"[""LeftButton""]",0,3.1383,space,1.1875,,,,,,,,,,,,,,0,29,29,38,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.280208302,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.82113116,2.7664,space,0,6.0094,0,30,30,29,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,1.3687,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.228645897,-0.528703817,1,0,0,RightButton,"[""RightButton""]",,,,,0.0234375,7.4005,space,,,,,,,,,,,0,31,31,15,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,3.3245,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.275520897,-0.494444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,98.87416146,10.0235,space,0,11.1307,0,32,32,28,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,0.9767,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.242708397,-0.508333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,4.1633,space,0,6.1221,,,,,,0,33,33,11,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,,1.306,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.319270897,-0.466666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,34,34,40,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.2890625,-0.533333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,3.8312,space,0,6.1843,,,,,,0,35,35,19,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,1.5674,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.302083397,-0.544444444,1,0,0,RightButton,"[""RightButton""]",,,,,0.010416746,3.0729,space,,,,,,,,,,,0,36,36,16,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,10.2997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.346354198,-0.500926039,1,0,0,RightButton,"[""RightButton""]",0,6.4381,space,5.4992,,,,,,,,,,,,,,0,37,37,2,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.318229151,-0.511111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,4.7499,space,0,6.555,,,,,,0,38,38,20,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,1.4168,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2921875,-0.510185242,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,4.9761,space,0,6.14,,,,,,0,39,39,31,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,,1.0966,,,,,,
