chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.318717448,-0.486545139,1,0,0,LeftButton,"[""LeftButton""]",,,,0.962782118,5.0823,space,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,2.5113,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,0.362744141,-0.478498264,1,0,0,RightButton,"[""RightButton""]",49,2.1567,space,,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,0.534,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,0.267963325,-0.499635417,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.300016276,-0.530086806,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,3.1637,space,0,5.3929,,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,0.548,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.276350911,-0.494010417,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,62,4.0897,space,0,6.6199,,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.168,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2668023,-0.490234375,1,0,0,LeftButton,"[""LeftButton""]",,,,2.506157769,2.7968,space,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,0.8318,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.257432726,-0.480598958,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0.820049453,3.0648,space,0.4531,1.198727729,5.5283,0,31,31,31,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.276730686,-0.501223958,1,0,0,LeftButton,"[""LeftButton""]",0,2.5643,space,,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,0.897,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.279812283,-0.494513889,1,0,0,LeftButton,"[""LeftButton""]",,,,0.99991862,4.1884,space,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,1.3849,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,0.239849175,-0.486710069,1,0,0,RightButton,"[""RightButton""]",,,,4.976101345,2.5047,space,,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,0.9442,,,,,,,
