chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301610542,-0.455729167,1,0,0,RightButton,"[""RightButton""]",1,3.1844,space,,,,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,1.0666,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.320644217,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,6,1.9887,space,11,2.5864,,,,,,0,29,29,29,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,0.4968,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.29136164,-0.5078125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,3,4.6042,space,7,3.4711,,,,,,0,30,30,30,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,2.7777,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.35431918,-0.486979167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,10.36499697,8.0853,space,12.87915761,9.1695,0,31,31,31,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,0.4611,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,0.303074671,-0.513020833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,86.08559978,3.8466,space,9.921321561,5.1776,0,32,32,32,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,0.7722,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313323572,-0.518229167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,33,33,33,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.29136164,-0.53125,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.29136164,-0.53125,1,0,0,LeftButton,"[""LeftButton""]",,,,2.441434846,4.4831,space,0.5644,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.294289898,-0.520833333,1,0,0,LeftButton,"[""LeftButton""]",0,2.4767,space,,,,,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,1.1015,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.310395315,-0.510416667,1,0,0,LeftButton,"[""LeftButton""]",4,2.1358,space,,,,,,,,,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,0.8278,,,,,,,
