choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session.order,session_serial,slider_judge_img,face_loop.order
,,,,,,,,,,0,32,32,33,1,34,image/34.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,32,32,33,1,34,image/34.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,32,32,33,1,34,image/34.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,33,33,28,1,29,image/29.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,33,33,28,1,29,image/29.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,33,33,28,1,29,image/29.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,34,34,37,1,38,image/38.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,34,34,37,1,38,image/38.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,34,34,37,1,38,image/38.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,35,35,31,1,32,image/32.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,35,35,31,1,32,image/32.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,35,35,31,1,32,image/32.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,36,36,45,1,46,image/46.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,36,36,45,1,46,image/46.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,36,36,45,1,46,image/46.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,37,37,25,1,26,image/26.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,37,37,25,1,26,image/26.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,37,37,25,1,26,image/26.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,38,38,48,1,49,image/49.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,38,38,48,1,49,image/49.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,38,38,48,1,49,image/49.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,39,39,14,1,15,image/15.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
