chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.279049745,-0.531182065,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,50,1.8519,space,2.0051,30,4.4537,,,,,,0,25,25,25,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.331063988,-0.494013247,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,0,RandomDot20.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.346125638,-0.466661005,1,0,0,RightButton,"[""RightButton""]",,,,,,,28,1.6148,space,0.4007,30,2.332,,,,,,0,27,27,27,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.243425808,-0.469132133,1,0,0,RightButton,"[""RightButton""]",,,,,,,38,1.8116,space,0.4852,37,2.6068,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.286123512,-0.54094769,1,0,0,LeftButton,"[""LeftButton""]",,,,4.987324617,2.2398,space,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,0.7682,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.278709609,-0.536701766,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,30,30,30,1,0,both_right.png,2,RandomDot2.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.245753614,-0.514784307,1,0,0,RightButton,"[""RightButton""]",41,1.6548,space,,,,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,0.3857,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.252242772,-0.526188859,1,0,0,LeftButton,"[""LeftButton""]",38,2.9103,space,,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,1.5849,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.236054422,-0.496722147,1,0,0,LeftButton,"[""LeftButton""]",,,,4.017936862,2.2564,space,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,0.4499,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.262701956,-0.492544158,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,20.10871899,1.8346,space,21.80725194,2.7674,0,34,34,34,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,0.2692
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.265816327,-0.467994226,1,0,0,RightButton,"[""RightButton""]",,,,2.067203444,5.1398,space,,,,,,,,,,,,0,35,35,35,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,0.4842,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.272640306,-0.527539063,1,0,0,LeftButton,"[""LeftButton""]",50,1.3246,space,,,,,,,,,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,0.3623,,
