chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,clicked_guilt,incompleteTrials,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,judge.clicked_name,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.286068565,-0.526513539,1,0,0,"[""LeftButton""]",,47,44.7048,space,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,LeftButton,2.1321,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.268997995,-0.515284401,1,0,0,"[""LeftButton""]",,,,,4.880531713,8.7935,space,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,LeftButton,,4.5683,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,0.38529888,-0.528972241,1,0,0,"[""RightButton""]",,,,,,,,46,371.4174,space,47,372.493,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,RightButton,,,0.4425,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,0.330527858,-0.47479564,1,0,0,"[""RightButton""]",,,,,2.481817948,2.1212,space,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,RightButton,,0.5246,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.00363641,-0.018701039,0,0,0,[],134,,,,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.00363641,-0.018701039,0,0,0,[],137,,,,,,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.274716026,-0.535816161,1,0,0,"[""LeftButton""]",,44,56.8861,space,,,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,LeftButton,0.4278,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,0.340531199,-0.489803304,1,0,0,"[""RightButton""]",,,,,,,,,,,,,49.963009,2.6076,space,98.99945175,5.6931,0,26,26,26,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,RightButton,,,,4.445,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.328761051,-0.545810627,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,0,both_right.png,2,RandomDot15.png,No answer,21,LeftButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.258994655,-0.501394329,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,28,28,28,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,LeftButton,,,,,,,,,
