chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.301388889,-0.502222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,68.51851852,3.195,space,85.49382716,6.176,0,25,25,25,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,0.496,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.3,-0.504444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,63.74859708,2.698,space,83.52974186,5.914,0,26,26,26,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,0.588,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.2875,-0.477777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,45,2.589,space,43,4.72,,,,,,0,27,27,27,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,0.433,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.265277778,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",74,4.391,space,,,,,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,0.522,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,0.293055556,-0.473333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,29,29,29,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.245833333,-0.537777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,46,3.63,space,36,9.229,,,,,,0,30,30,30,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,2.467,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.3125,-0.54,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,45,1.783,space,26,4.568,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,2.705,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.311111111,-0.475555556,1,0,0,LeftButton,"[""LeftButton""]",,,,1.472222222,2.166,space,0.552,,,,,,,,,,,0,32,32,32,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.277777778,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,1.611111111,1.336,space,0.355,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.322222222,-0.533333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,
