chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.328900825,-0.506697801,1,0,0,RightButton,"[""RightButton""]",98,1.2262,space,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,0.0354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.29928928,-0.53579528,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,82,1.7164,space,55,3.3995,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,0.7626,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277061632,-0.502940498,1,0,0,RightButton,"[""RightButton""]",,,,0.039523655,4.5128,space,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,,0.1132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283192274,-0.517124077,1,0,0,LeftButton,"[""LeftButton""]",,,,0.074815538,1.9372,space,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,,0.4135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.223177083,-0.505121848,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,30,30,30,1,0,both_right.png,0,RandomDot34.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.386452908,-0.478887992,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,10.18233551,2.5775,space,88.60052346,3.7973,0,31,31,31,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,0.1584,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.282942708,-0.511483318,1,0,0,LeftButton,"[""LeftButton""]",,,,4.981472439,5.3266,space,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,0.9031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.265218099,-0.537524985,1,0,0,LeftButton,"[""LeftButton""]",,,,1.9714898,7.7824,space,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,0.9611
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301589627,-0.50672663,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,34,34,34,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.293511285,-0.478138453,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,35,35,35,1,0,both_right.png,1,RandomDot8.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277788628,-0.48527829,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,73.72904391,3.9586,space,44.83879595,5.1983,0,36,36,36,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,1.4007,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.320719401,-0.49128421,1,0,0,LeftButton,"[""LeftButton""]",,,,0.966905382,1.8508,space,,,,,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,,0.3474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.30085178,-0.523283748,1,0,0,LeftButton,"[""LeftButton""]",,,,2.008626302,2.4331,space,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,,0.355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.262641059,-0.507687577,1,0,0,RightButton,"[""RightButton""]",,,,,,,82,1.7164,space,65,2.9337,,,,,,0,39,39,39,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.3971,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.257687717,-0.501796971,1,0,0,RightButton,"[""RightButton""]",,,,,,,81,1.466,space,55,2.382,,,,,,0,40,40,40,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,0.3719,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.181136068,-0.454143604,1,0,0,RightButton,"[""RightButton""]",,,,1.072184245,2.6504,space,,,,,,,,,,,0,41,41,41,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,,1.3337
