chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.321614583,-0.477829861,1,0,0,LeftButton,"[""LeftButton""]",0,3.0394,space,0.7024,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.327815755,-0.503072917,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,2.2014,space,0,3.9721,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,0.553,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.280582682,-0.504453125,1,0,0,LeftButton,"[""LeftButton""]",0,3.0979,space,0.6348,,,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.26070421,-0.50921875,1,0,0,RightButton,"[""RightButton""]",,,,,4.971082899,2.1326,space,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,0.7857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.310693359,-0.481145833,1,0,0,RightButton,"[""RightButton""]",0,2.1044,space,0.6681,,,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.291113281,-0.539375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,2.8091,space,0,5.0477,0,31,31,31,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,0.5403,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.260563151,-0.517230903,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,2.731,space,0,4.9637,,,,,,0,32,32,32,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,0.7179,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.361615668,-0.50859375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,2.7337,space,0,4.8844,,,,,,0,33,33,33,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,0.5377,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.306906467,-0.520972222,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.990478516,2.5881,space,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,0.8204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.257356771,-0.514626736,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,3.0014,space,0,4.6858,0,35,35,35,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,0.3202,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.315804036,-0.507682292,1,0,0,LeftButton,"[""LeftButton""]",0,2.2499,space,0.6311,,,,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.288764106,-0.498732639,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,37,37,37,1,0,both_right.png,2,RandomDot2.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.276822917,-0.498880208,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.995388455,1.9717,space,,,,,,,,,,,0,38,38,38,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,0.6179
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.323410373,-0.509227431,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,39,39,39,1,0,both_right.png,3,RandomDot30.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.285530599,-0.534418403,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.980333116,1.9996,space,,,,,,,,,,,0,40,40,40,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,0.6332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.29632704,-0.514184028,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,2.2144,space,0,4.2987,0,41,41,41,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,0.5696,,
