chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.267838542,-0.489496528,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.463378906,2.4523,space,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.4859,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.252267795,-0.497682292,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.546413845,2.3815,space,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,0.5931,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.336854384,-0.519774306,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,15,4.0739,space,80,7.4872,,,,,,0,27,27,27,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,0.9421,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,0.307720269,-0.480564236,1,0,0,RightButton,"[""RightButton""]",8,4.8232,space,0.2866,,,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.317062717,-0.496701389,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,95.79267063,4.176,space,4.153623913,6.7425,0,29,29,29,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,0.4516,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.275732422,-0.476102431,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.977294922,1.9572,space,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,0.2855,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.260682509,-0.545199653,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,96.73416018,4.0648,space,8.566787668,5.4811,0,31,31,31,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,0.4832,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.311697049,-0.4971875,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.001654731,1.9932,space,,,,,,,,,,,0,32,32,32,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,0.6849,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,0.331765408,-0.506484375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,33,33,33,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.228342014,-0.493914931,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,97.08050558,15.1853,space,2.716180906,17.048,0,34,34,34,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,0.7333,,,,,,,,
