chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,0.327330044,-0.495322732,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,74.63921008,4.9541,space,23.07735616,7.6085,0,26,26,26,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,0.9414,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.222432383,-0.492055952,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,46.26057726,4.7527,space,59.46554359,7.6665,0,27,27,27,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,0.7051,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.237367507,-0.517846703,1,0,0,LeftButton,"[""LeftButton""]",58,5.9938,space,,,,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,1.9894,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281898757,-0.521953929,1,0,0,RightButton,"[""RightButton""]",,,,5,3.1689,space,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,1.4347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.309699379,-0.502294785,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,100,3.4865,space,0.3178,12,6.6474,,,,,,0,30,30,30,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.292658077,-0.493978017,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302435124,-0.527552035,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,62.06417243,3.2291,space,62.69179367,6.0716,0,32,32,32,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,0.7919,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,0.297510051,-0.50830946,1,0,0,RightButton,"[""RightButton""]",,,,,,,100,3.4883,space,2.1465,10,5.5413,,,,,,0,33,33,33,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.309014072,-0.473865762,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,3,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.243823099,-0.468830391,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989423428,3.8727,space,,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,1.7065
