chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.324872916,-0.509900716,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,83.89090813,4.3494,space,32.81240899,5.9061,0,22,22,22,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,,0.5996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,0.216217114,-0.49340239,1,0,0,RightButton,"[""RightButton""]",,,,,,,15,2.5091,space,75,4.4674,,,,,,0,23,23,23,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,0.2679,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,0.26360866,-0.527417225,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,24,24,24,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,0.264799136,-0.527417225,1,0,0,RightButton,"[""RightButton""]",,,,2.46488008,2.4671,space,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,0.2178,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.23953218,-0.53269694,1,0,0,RightButton,"[""RightButton""]",,,,2.517227899,2.1665,space,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,0.2753,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.273240008,-0.519074823,1,0,0,RightButton,"[""RightButton""]",69,1.944,space,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,0.5559,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.296126956,-0.503996233,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,35.81360509,3.7832,space,55.52985415,5.3645,0,28,28,28,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,,0.3048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,0.38134722,-0.511093169,1,0,0,RightButton,"[""RightButton""]",,,,,,,55,3.0415,space,68,5.0415,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,0.3317,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.290626889,-0.484050758,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,41,2.0005,space,61,3.3668,,,,,,0,30,30,30,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,0.2518,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.248562259,-0.478152786,1,0,0,LeftButton,"[""LeftButton""]",64,2.2994,space,,,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,0.4468,
