chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.267291415,-0.537473233,1,0,0,RightButton,"[""RightButton""]",,,,,,,50,4.2039,space,39,2.0851,,,,,,,0,25,25,25,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,1.4703,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.323516315,-0.526052863,1,0,0,RightButton,"[""RightButton""]",,,,4.246987952,2.1976,space,,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,0.9808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.236947791,-0.497501872,1,0,0,LeftButton,"[""LeftButton""]",61,1.8562,space,,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,0.3382,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.264614039,-0.473233405,1,0,0,RightButton,"[""RightButton""]",,,,,,,57,1.7835,space,42,3.0752,,,,,,,0,28,28,28,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,0.7535,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.295850067,-0.526052863,1,0,0,LeftButton,"[""LeftButton""]",57,1.4657,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,0.5852,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,0.385096048,-0.474661,1,0,0,RightButton,"[""RightButton""]",,,,4.479027765,1.2917,space,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,0.4238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,0.340473058,-0.528907923,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.278000838,-0.524625268,1,0,0,LeftButton,"[""LeftButton""]",50,1.6467,space,,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,0.2623,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.222668424,-0.498929336,1,0,0,LeftButton,"[""LeftButton""]",,,,4.519188407,1.353,space,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,0.1699
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.352074967,-0.527480458,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,0,RandomDot20.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.339580531,-0.528907923,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,45.62785648,4.3507,space,0.904,35.98209322,6.4403,0,35,35,35,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,0.382418672,-0.481798715,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,53.8312677,2.1808,space,0.6876,34.72002488,4.1764,0,36,36,36,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.225345801,-0.521770208,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,62,2.7162,space,30,3.6316,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,0.379,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.208389058,-0.530335518,1,0,0,LeftButton,"[""LeftButton""]",,,,3.149263722,1.4044,space,,,,,,,,,,,,0,38,38,38,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,0.3558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,0.266398929,-0.493219216,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,48.87316093,5.2911,space,0.2352,33.27767285,6.0333,0,39,39,39,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.251227076,-0.533190578,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,40,40,40,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5CTfFYNxQEuWapL,1,2024-05-28_13h35.22.789,interaction task,2021.2.3,Win32,59.88023952,120980,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.255689424,-0.501784527,1,0,0,LeftButton,"[""LeftButton""]",,,,3.350066934,1.5892,space,,,,,,,,,,,,0,41,41,41,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,0.918
