chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,0.279166667,-0.537777778,1,0,0,RightButton,"[""RightButton""]",,,,4.673611111,3.934,space,0.517,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.288888889,-0.475555556,1,0,0,LeftButton,"[""LeftButton""]",,,,4.569444444,4.558,space,0.308,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,0.243055556,-0.528888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.43883277,4.966,space,49.71941639,3.195,0,27,27,27,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,0.327,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.356944444,-0.513333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,28,28,28,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.275,-0.526666667,1,0,0,LeftButton,"[""LeftButton""]",94,2.585,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,0.541,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.308333333,-0.52,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,51,4.112,space,30,6.901,,,,,,0,30,30,30,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,0.366,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275,-0.502222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,0.298611111,-0.504444444,1,0,0,RightButton,"[""RightButton""]",,,,4.645833333,2.24,space,0.401,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,0.261111111,-0.504444444,1,0,0,RightButton,"[""RightButton""]",58,2.22,space,,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,0.673,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,0.273611111,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,80,2.516,space,57,4.471,,,,,,0,34,34,34,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,0.801,,,,,,,
