chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.089311859,-0.544165758,0,0,0,,[],,,,,,,,,,,,,,,,,0,28,28,28,1,0,both_right.png,3,RandomDot11.png,No answer,20,,,42,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.276720351,-0.526717557,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0,3.598,space,0,8.285,0,29,29,29,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,1.385,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.289897511,-0.537622683,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.333,space,0,4.001,,,,,,0,30,30,30,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,69.141,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.238653001,-0.528898582,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,1,RandomDot30.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.260614934,-0.537622683,1,0,0,LeftButton,"[""LeftButton""]",0,1.908,space,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,,,29.725,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297218155,-0.511450382,1,0,0,LeftButton,"[""LeftButton""]",0,1.721,space,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,,,0.704,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.336749634,-0.515812432,1,0,0,RightButton,"[""RightButton""]",,,,1.965592972,1.675,space,,,,,,,,,,,0,34,34,34,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,,1.544,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.32942899,-0.541984733,1,0,0,RightButton,"[""RightButton""]",,,,1.987554905,3.208,space,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,1.602,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301610542,-0.483097056,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,0,5.101,space,0.012570803,7.398,0,36,36,36,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,1.641,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275256223,-0.535441658,1,0,0,LeftButton,"[""LeftButton""]",0,7.914,space,,,,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,,6.571,,,,,
