chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.313559322,-0.514726508,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,57.87536381,2.823,space,0.617,60.95702791,5.389,0,26,26,26,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.284745763,-0.511921459,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,0,both_right.png,1,RandomDot29.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.316949153,-0.47545582,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,57.70416025,3.765,space,1.448,51.19842493,6.881,0,28,28,28,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.318644068,-0.483870968,1,0,0,LeftButton,"[""LeftButton""]",,,,4.93220339,2.82,space,,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,1.341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.279661017,-0.483870968,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,30,30,30,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,0.306779661,-0.534361851,1,0,0,RightButton,"[""RightButton""]",,,,,,,61,4.618,space,2,6.967,,,,,,,0,31,31,31,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,0.866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.308474576,-0.486676017,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,60,19.03,space,3,35.427,,,,,,,0,32,32,32,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,0.693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.311864407,-0.511921459,1,0,0,LeftButton,"[""LeftButton""]",84,3.113,space,,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,1.101,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.355932203,-0.469845722,1,0,0,RightButton,"[""RightButton""]",,,,,,,68,4.888,space,4,7.355,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,0.848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.308474576,-0.458625526,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,51.02722137,4.933,space,0.475,52.39684985,7.967,0,35,35,35,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.266101695,-0.481065919,1,0,0,RightButton,"[""RightButton""]",71,3.129,space,,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,0.64,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.284745763,-0.53997195,1,0,0,RightButton,"[""RightButton""]",,,,,,,72,2.224,space,1,3.877,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,0.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.298305085,-0.525946704,1,0,0,LeftButton,"[""LeftButton""]",,,,4.898305085,4.254,space,,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.778,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.286440678,-0.5371669,1,0,0,RightButton,"[""RightButton""]",,,,4.966101695,3.76,space,,,,,,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,1.441,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.26779661,-0.514726508,1,0,0,RightButton,"[""RightButton""]",,,,,,,64,5.178,space,4,7.061,,,,,,,0,40,40,40,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,0.552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.276271186,-0.483870968,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,72,1.767,space,1,3.376,,,,,,,0,41,41,41,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,0.501
