chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.263945578,-0.534782609,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,0.388236103,3.953,space,0.250807394,5.081,0,25,25,25,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,0.261,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.284353741,-0.510869565,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,0,1.381,space,0.388236103,2.682,0,26,26,26,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,0.275,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.333333333,-0.497826087,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,2,1.569,space,0.261,1,2.39,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.485714286,-0.3,0,0,0,,[],,,,,,,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,,,93,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.361904762,-0.508695652,1,0,0,LeftButton,"[""LeftButton""]",,,,3.003401361,12.419,space,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,6.421,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,0.100680272,-0.013043478,0,0,0,,[],,,,,,,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,,90,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.26122449,-0.523913043,1,0,0,LeftButton,"[""LeftButton""]",0,2.307,space,,,,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,,0.144,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.250340136,-0.508695652,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,32,32,32,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,0.234013605,-0.523913043,1,0,0,RightButton,"[""RightButton""]",,,,,,,2,3.187,space,0.486,2,4.066,,,,,,0,33,33,33,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265306122,-0.52173913,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,2,RandomDot29.png,No answer,20,,,,,,,,,
