chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.218999787,-0.482277514,1,0,0,RightButton,"[""RightButton""]",,,,3.006855867,3.3559,space,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,2.5293,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.266066114,-0.513918139,1,0,0,LeftButton,"[""LeftButton""]",87,1.5905,space,,,,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,0.3537,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.266857993,-0.531360394,1,0,0,LeftButton,"[""LeftButton""]",,,,3.010071216,4.1647,space,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,0.2676,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.302226828,-0.480078125,1,0,0,LeftButton,"[""LeftButton""]",,,,3.00135523,2.0198,space,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,0.3001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.28196216,-0.508033288,1,0,0,RightButton,"[""RightButton""]",,,,,,,88,2.4433,space,90,3.3117,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,0.2841,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.262159864,-0.528091033,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,59.45949718,3.3627,space,78.56047722,5.6364,0,30,30,30,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,,,0.3341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.289147534,-0.464673913,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,53.63756614,3.5818,space,80.9128702,5.8561,0,31,31,31,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,,0.2676
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.338435374,-0.509264606,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,32,32,32,1,0,both_right.png,0,RandomDot19.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.263578869,-0.498556386,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,58.9054877,2.7684,space,78.91156463,3.6548,0,33,33,33,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,,0.2003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,0.278109056,-0.503150476,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,69.72155655,2.5939,space,59.2565751,4.7722,0,34,34,34,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,,0.2548
