chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.376459418,-0.502300347,1,0,0,LeftButton,"[""LeftButton""]",14,2.1852,space,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,0.3031,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.312586806,-0.516996528,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,25,25,25,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.374093967,-0.544696181,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,81,5.9008,space,28,7.1662,,,,,,0,26,26,26,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,0.2533,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.257394748,-0.512638889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,75.95014818,1.4417,space,25.87583737,2.2128,0,27,27,27,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,0.1691,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.347021484,-0.541154514,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,28,28,28,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.330143229,-0.539722222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,88.12594259,3.2349,space,14.23983761,3.9955,0,29,29,29,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,0.2636,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.32562934,-0.476640625,1,0,0,RightButton,"[""RightButton""]",1,2.2013,space,,,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,0.3962,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.334950087,-0.498602431,1,0,0,RightButton,"[""RightButton""]",,,,,,,10,3.0889,space,74,6.9223,,,,,,0,31,31,31,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,0.7218,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.261159939,-0.503480903,1,0,0,LeftButton,"[""LeftButton""]",,,,4.991834852,2.041,space,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,,0.3505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275113932,-0.495095486,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,20,2.6987,space,66,4.3857,,,,,,0,33,33,33,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,0.3188,,
