chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.32457483,-0.526902174,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,39,2.4658,space,10,4.8217,,,,,,0,23,23,23,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,0.5892,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.269361182,-0.527122962,1,0,0,RightButton,"[""RightButton""]",22,7.6863,space,1.0714,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,0.270296556,-0.478651495,1,0,0,RightButton,"[""RightButton""]",1,1.2764,space,0.7872,,,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.258333333,-0.472393003,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,38.65193173,2.316,space,18.95560623,4.3164,0,26,26,26,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,0.4859
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.353730867,-0.518138587,1,0,0,RightButton,"[""RightButton""]",,,,,0.024686437,5.9246,space,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,2.7372,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Greater,Smaller,,0.348007015,-0.46305197,1,0,0,RightButton,"[""RightButton""]",26,1.9382,space,0.6665,,,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.371258503,-0.528498641,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,29,29,29,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.249463223,-0.546637228,1,0,0,RightButton,"[""RightButton""]",,,,,0.036166029,2.042,space,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,1.2691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,0.312138605,-0.517527174,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5SxAnX25qTwpM5H,1,2024-05-12_23h32.00.337,interaction task,2021.2.3,MacIntel,60.24096386,120364,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.289540816,-0.50611413,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.050807823,2.535,space,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,0.9842,
