chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277468533,-0.497699653,1,0,0,RightButton,"[""RightButton""]",49,2.0164,space,,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,0.1448,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.301009115,-0.490269097,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,76,1.6333,space,27,2.8814,,,,,,0,33,33,33,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,0.506,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.295703125,-0.507265625,1,0,0,RightButton,"[""RightButton""]",,,,1.045084635,1.9656,space,0.317,,,,,,,,,,,0,34,34,34,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.347694227,-0.541024306,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,40.45960911,3.5764,space,80.69869704,4.7627,0,35,35,35,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,0.3705
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.225537109,-0.487118056,1,0,0,RightButton,"[""RightButton""]",,,,1.04812283,1.7338,space,0.385,,,,,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302533637,-0.516414931,1,0,0,LeftButton,"[""LeftButton""]",72,3.8521,space,,,,,,,,,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,1.2133,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283083767,-0.518741319,1,0,0,LeftButton,"[""LeftButton""]",70,2.8187,space,,,,,,,,,,,,,,,0,38,38,38,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,1.1531,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.292822266,-0.529791667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,75,1.5662,space,17,2.9338,,,,,,0,39,39,39,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,0.3717,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.288264974,-0.492612847,1,0,0,LeftButton,"[""LeftButton""]",,,,1.043619792,1.5362,space,0.3802,,,,,,,,,,,0,40,40,40,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318934462,-0.464105903,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,41,41,41,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
