chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.310846561,-0.532275132,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.296296296,-0.496296296,1,0,0,LeftButton,"[""LeftButton""]",,,,2.533068783,1.36,space,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,,0.638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.308201058,-0.498412698,1,0,0,RightButton,"[""RightButton""]",14,20.328,space,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,16.727,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.33994709,-0.53015873,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.43616055,4.113,space,18.20052376,7.117,0,27,27,27,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,0.416,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.255291005,-0.544973545,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,2.463,space,9.114959115,3.869,0,28,28,28,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,0.322,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.205026455,-0.508994709,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,29,29,29,1,0,both_right.png,2,RandomDot29.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293650794,-0.523809524,1,0,0,RightButton,"[""RightButton""]",20,3.675,space,,,,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,2.232,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.256613757,-0.544973545,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.346560847,-0.508994709,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.70338304,6.433,space,18.20052376,8.728,0,32,32,32,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,0.419,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.231481481,-0.492063492,1,0,0,RightButton,"[""RightButton""]",,,,2.526455026,2.055,space,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,,0.69
