chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.252025859,-0.485218641,1,0,0,LeftButton,"[""LeftButton""]",,,,1.279140049,2.5445,space,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,1.1711,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.333398522,-0.486236437,1,0,0,RightButton,"[""RightButton""]",71,2.225,space,,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,,0.351,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,0.264633094,-0.506127523,1,0,0,RightButton,"[""RightButton""]",,,,1.199687958,4.2152,space,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,0.8376,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2900742,-0.514609918,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,63,5.7737,space,51,7.9747,,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,0.4296,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.337555355,-0.518506131,1,0,0,RightButton,"[""RightButton""]",,,,,,,62,4.4745,space,51,5.511,,,,,,,0,29,29,29,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,0.3391,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.250721063,-0.492853597,1,0,0,RightButton,"[""RightButton""]",69,3.044,space,,,,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,,0.637,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.29494506,-0.51228814,1,0,0,LeftButton,"[""LeftButton""]",,,,2.005502489,6.1595,space,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,3.2058,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.20986362,-0.462180176,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,62.2014141,2.6572,space,0.5248,57.36499448,3.8409,0,32,32,32,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.331693395,-0.539093153,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,57.84865186,2.9264,space,0.2345,63.78768596,4.2749,0,33,33,33,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.200477261,-0.537076009,1,0,0,LeftButton,"[""LeftButton""]",66,1.9795,space,,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,,0.4519,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.267569902,-0.513133681,1,0,0,LeftButton,"[""LeftButton""]",70,2.6422,space,,,,,,,,,,,,,,,0,35,35,35,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,,0.3521,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.32151858,-0.533876004,1,0,0,LeftButton,"[""LeftButton""]",,,,2.226876153,2.5637,space,,,,,,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,,0.3843,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,0.209771983,-0.475575901,1,0,0,RightButton,"[""RightButton""]",73,2.0558,space,,,,,,,,,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,,0.5504,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.313290151,-0.520066732,1,0,0,LeftButton,"[""LeftButton""]",,,,2.355605231,2.4279,space,,,,,,,,,,,,0,38,38,38,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,0.3821,,,,,,
