chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.323809524,-0.52173913,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,68.6903044,2.798,space,55.77200577,3.722,0,27,27,27,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,0.985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.278911565,-0.484782609,1,0,0,RightButton,"[""RightButton""]",,,,,3.962585034,8.136,space,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,1.868,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.31292517,-0.515217391,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,91,2.667,space,55,3.818,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,1.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.232653061,-0.480434783,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,62.91829863,3.097,space,67.31601732,5.67,0,30,30,30,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,1.888,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.349659864,-0.539130435,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,53.84800385,5.273,space,54.81000481,7.808,0,31,31,31,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,1.018,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.246258503,-0.515217391,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,79,1.7,space,50,3.638,,,,,,0,32,32,32,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,0.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,0.341496599,-0.493478261,1,0,0,RightButton,"[""RightButton""]",,,,,,,,90,2.374,space,37,4.426,,,,,,0,33,33,33,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,0.342857143,-0.493478261,1,0,0,RightButton,"[""RightButton""]",59,2.574,space,0.834,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.204081633,-0.489130435,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,35,35,35,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,0.319727891,-0.541304348,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.30715316,2.434,space,42.57884972,3.719,0,36,36,36,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,1.427,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.239455782,-0.493478261,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,79,3.184,space,54,4.225,,,,,,0,37,37,37,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,0.878
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,0.382312925,-0.489130435,1,0,0,RightButton,"[""RightButton""]",,,,,4.078231293,2.967,space,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,1.443,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.27755102,-0.545652174,1,0,0,LeftButton,"[""LeftButton""]",51,3.223,space,0.87,,,,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.248979592,-0.519565217,1,0,0,RightButton,"[""RightButton""]",,,,,2.336734694,1.856,space,,,,,,,,,,,0,40,40,40,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,0.889,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,0.349659864,-0.526086957,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,41,41,41,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,
