chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.351155599,-0.507829861,1,0,0,LeftButton,"[""LeftButton""]",,,,4.977457682,2.3562,space,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,1.275,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.287093099,-0.510486111,1,0,0,LeftButton,"[""LeftButton""]",,,,4.982421875,1.7174,space,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,0.5097,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.266959635,-0.50046875,1,0,0,LeftButton,"[""LeftButton""]",59,3.7207,space,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,0.1669,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.210617405,-0.507152778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,91,5.3521,space,1,7.9943,,,,,,0,28,28,28,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,0.4667,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.335894097,-0.49375,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989718967,2.8025,space,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,0.4069,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,0.313259549,-0.539487847,1,0,0,RightButton,"[""RightButton""]",,,,,,,72,2.4077,space,0,4.2281,,,,,,0,30,30,30,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,0.1924,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,0.310020616,-0.474487847,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.240180122,-0.486579861,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,96.58236006,2.1498,space,1.734138258,4.089,0,32,32,32,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,,0.5316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283425564,-0.509552258,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,97.12982691,1.9156,space,0.869918806,3.3317,0,33,33,33,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,,0.5607
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.309716797,-0.514093137,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,34,34,34,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,
