chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,0.229868228,-0.46875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,53.54940326,1.5254,space,1.5693,55.17621308,3.8407,0,26,26,26,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,0.333821376,-0.526041667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,50.59156721,2.6875,space,1.5432,34.32346895,4.2961,0,27,27,27,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.297218155,-0.528645833,1,0,0,LeftButton,"[""LeftButton""]",,,,5,4.5049,space,,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,1.552,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.257686676,-0.4921875,1,0,0,LeftButton,"[""LeftButton""]",97,2.4969,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,0.8868,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,0.297218155,-0.520833333,1,0,0,RightButton,"[""RightButton""]",,,,4.989019034,3.8192,space,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,0.9252,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,0.266471449,-0.520833333,1,0,0,RightButton,"[""RightButton""]",100,2.6721,space,,,,,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,0.5888,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,0.300146413,-0.497395833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,75.58528181,3.0531,space,0.2041,19.97796412,4.6814,0,32,32,32,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,0.272327965,-0.541666667,1,0,0,RightButton,"[""RightButton""]",91,4.1626,space,,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,1.034,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.27818448,-0.5390625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,66,1.9857,space,55,3.3808,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,0.6035,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.250366032,-0.46875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,39.94335744,2.9407,space,0.4716,65.82442285,4.5165,0,35,35,35,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,,,,,,,
