chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.252083302,-0.503703817,1,0,0,LeftButton,"[""LeftButton""]",,,,4.958333492,3.443,space,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,0.933,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.283333302,-0.512963019,1,0,0,LeftButton,"[""LeftButton""]",,,,2.421875,4.3489,space,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,0.5373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.258333302,-0.501851908,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,1,4.5743,space,0.2096,1,8.1984,,,,,,0,34,34,34,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.297916651,-0.490740797,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.97895944,5.1609,space,0.968015074,7.1527,0,35,35,35,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,0.6678,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.25,-0.503703817,1,0,0,LeftButton,"[""LeftButton""]",1,4.3011,space,,,,,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,0.6342
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,0.248958397,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,4.0995,space,0.3818,0,7.2016,,,,,,0,37,37,37,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.327083397,-0.520370483,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,99.13721181,3.9509,space,0,8.3059,0,38,38,38,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,0.2238,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.3,-0.474074131,1,0,0,RightButton,"[""RightButton""]",50,3.0293,space,,,,,,,,,,,,,,,0,39,39,39,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,0.2938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.321875,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,40,40,40,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3,-0.507407464,1,0,0,RightButton,"[""RightButton""]",,,,,,,50,6.4726,space,0.2541,1,4.5256,,,,,,0,41,41,41,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,
