chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.238888889,-0.464444444,1,0,0,LeftButton,"[""LeftButton""]",0,2.122,space,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,0.936,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.302777778,-0.535555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,4.513,space,1,5.68,,,,,,0,24,24,24,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,0.935,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.288888889,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,25,25,25,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.283333333,-0.46,1,0,0,LeftButton,"[""LeftButton""]",,,,0.013888889,3.288,space,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,,0.735,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291666667,-0.548888889,0,0,0,,[],,,,,,,,,,,,,,,,,0,27,27,27,1,0,both_right.png,2,RandomDot25.png,No answer,20,,,,33,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2625,-0.484444444,1,0,0,LeftButton,"[""LeftButton""]",,,,0.034722222,2.858,space,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,,,0.333,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.348611111,-0.524444444,1,0,0,LeftButton,"[""LeftButton""]",0,2.258,space,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,0.885,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.315277778,-0.486666667,1,0,0,LeftButton,"[""LeftButton""]",1,2.321,space,,,,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,1.784,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259722222,-0.517777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0.617283951,4.392,space,0.476992144,5.763,0,31,31,31,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,1.152,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.241666667,-0.568888889,0,0,0,,[],,,,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,,112,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.241666667,-0.568888889,1,0,0,,[],,,,,,,,,,,,,,,,,0,33,33,33,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.252777778,-0.462222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.322,space,0,3.679,,,,,,0,34,34,34,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,0.374,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.323611111,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",0,12.892,space,,,,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,0.577,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322222222,-0.542222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,1.318742985,6.261,space,1.038159371,7.501,0,36,36,36,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,0.44,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.452777778,-0.346666667,0,0,0,,[],,,,,,,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,69,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259722222,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",0,4.587,space,,,,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,0.6,,,,,,,,
