chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.247385204,-0.47472928,1,0,0,RightButton,"[""RightButton""]",,,,0.983152636,5.4628,space,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,1.0339,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.289976616,-0.510551671,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,5,4.0806,space,0.6892,9,9.3977,,,,,,0,26,26,26,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.401445578,-0.31231881,0,0,0,,[],,,,,,,,,,,,,,,,,,0,27,27,27,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,,40,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,0.328528912,-0.468941849,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,59.98720195,2.3018,space,90.20004466,7.1174,0,28,28,28,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,0.8516,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.262058886,-0.510423772,1,0,0,LeftButton,"[""LeftButton""]",90,2.259,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,1.098,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.338159014,-0.508654502,1,0,0,RightButton,"[""RightButton""]",30,3.3484,space,,,,,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,0.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.308041029,-0.468387619,1,0,0,RightButton,"[""RightButton""]",,,,1.012887968,6.1282,space,,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,0.806,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,0.284428146,-0.512107776,1,0,0,RightButton,"[""RightButton""]",,,,,,,11,6.3391,space,0.6346,10,8.1621,,,,,,0,32,32,32,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25788159,-0.466319918,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,29.97781815,3.8832,space,29.98694427,6.1647,0,33,33,33,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,0.4811,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.331834609,-0.525835607,1,0,0,LeftButton,"[""LeftButton""]",60,3.3814,space,,,,,,,,,,,,,,,0,34,34,34,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,0.9201,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.325175383,-0.519856327,1,0,0,LeftButton,"[""LeftButton""]",,,,5,5.4162,space,,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,4.0674,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,0.29118835,-0.472629604,1,0,0,RightButton,"[""RightButton""]",35,11.6455,space,,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,1.0678,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.359635417,-0.478001364,1,0,0,RightButton,"[""RightButton""]",30,7.1346,space,,,,,,,,,,,,,,,0,37,37,37,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,2.8675,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.266459396,-0.487572476,1,0,0,LeftButton,"[""LeftButton""]",,,,1.514216624,6.8999,space,,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,0.9298,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.231350978,-0.515475784,1,0,0,LeftButton,"[""LeftButton""]",20,2.4249,space,,,,,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,1.9386,,,,,,,
