chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.268503534,-0.513447247,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,2,1.8389,space,2,3.2015,,,,,,,0,26,26,26,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,0.3002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25922619,-0.514741715,1,0,0,RightButton,"[""RightButton""]",,,,4.434175037,3.3686,space,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,1.6744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.301739211,-0.544103314,1,0,0,LeftButton,"[""LeftButton""]",,,,4.645926339,2.0297,space,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,0.8108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.282407924,-0.482334308,1,0,0,LeftButton,"[""LeftButton""]",84,1.6006,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,0.3367,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.307570685,-0.509548611,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,44,1.6888,space,20,3.551,,,,,,,0,30,30,30,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,1.067
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.272377232,-0.544689632,1,0,0,LeftButton,"[""LeftButton""]",,,,4.977864583,1.5379,space,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,0.3853,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273260789,-0.503792032,1,0,0,LeftButton,"[""LeftButton""]",27,2.2195,space,,,,,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,0.3522,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.28124535,-0.509145041,1,0,0,RightButton,"[""RightButton""]",84,2.0486,space,,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,0.4312,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.281259301,-0.493931226,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,72.93864989,2.1631,space,0.2841,26.91573473,3.9478,0,34,34,34,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,0.291150484,-0.506670322,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,35,35,35,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,0.278031994,-0.510736477,1,0,0,RightButton,"[""RightButton""]",,,,,,,88,2.2819,space,31,4.0162,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,0.2504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,0.296196057,-0.507005361,1,0,0,RightButton,"[""RightButton""]",27,1.7015,space,,,,,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,0.2348,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.301362537,-0.512883772,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.64873813,3.1534,space,0.1704,0.619945737,4.5164,0,38,38,38,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.303162202,-0.531600268,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,1.8169,space,36,5.171,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,1.9072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.331728981,-0.516538743,1,0,0,RightButton,"[""RightButton""]",,,,4.935639881,4.1141,space,,,,,,,,,,,,0,40,40,40,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,0.3894,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.30921689,-0.507203338,1,0,0,RightButton,"[""RightButton""]",60,2.8809,space,,,,,,,,,,,,,,,0,41,41,41,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,0.3027,,
