﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,-0.319268611,-0.502368031,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,14.57138666,1.0727,space,0.4865,47.68679007,1.6728,0,25,25,25,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,0.274663501,-0.528597539,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,-0.299979883,-0.496539207,1,0,0,LeftButton,"[""LeftButton""]",,,,1.959622158,6.5044,space,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,1.2654,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,0.25376733,-0.502368031,1,0,0,RightButton,"[""RightButton""]",,,,2.996182984,1.7938,space,,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,0.4913,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,0.261000603,-0.543169399,1,0,0,RightButton,"[""RightButton""]",48,2.8898,space,,,,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,2.2044,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,-0.29274661,-0.5111112,1,0,0,LeftButton,"[""LeftButton""]",49,4.4386,space,,,,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,2.1917,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,-0.235684147,-0.512568306,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,2,RandomDot29.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,0.293952229,-0.505282376,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,39.97609813,11.8309,space,0.7403,55.88447324,10.9722,0,32,32,32,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,0.300381854,-0.52568306,1,0,0,RightButton,"[""RightButton""]",,,,1.959622158,15.8151,space,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,0.674,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.24854325,-0.515482785,1,0,0,LeftButton,"[""LeftButton""]",,,,2.787263993,3.4905,space,,,,,,,,,,,,0,34,34,34,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,1.347,,,,,,,,,,
