﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.309375,-0.498148261,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,70,2.2163,space,29,3.7157,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,,0.4227,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.288541698,-0.507407464,1,0,0,RightButton,"[""RightButton""]",,,,4.96875,2.2836,space,0.4169,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,0.290625,-0.503703817,1,0,0,RightButton,"[""RightButton""]",,,,,,,,89,2.0988,space,38,5.9528,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,0.3871,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.290625,-0.485185242,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,100,2.5936,space,10,4.6999,,,,,,0,30,30,30,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,0.3407,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.295833302,-0.516666667,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989583492,2.9926,space,0.5116,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,0.310416698,-0.490740797,1,0,0,RightButton,"[""RightButton""]",,,,,,,,91,2.2831,space,10,4.05,,,,,,0,32,32,32,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,0.4578,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.286458302,-0.509259372,1,0,0,LeftButton,"[""LeftButton""]",,,,4.96875,2.5835,space,0.6534,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.3,-0.501851908,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.314583302,-0.507407464,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,99,1.888,space,21,4.6175,,,,,,0,35,35,35,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,1.8996,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,-0.288541651,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,4.984375,2.0888,space,0.4362,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.311458397,-0.48703715,1,0,0,RightButton,"[""RightButton""]",90,2.4301,space,,,,,,,,,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,0.7158,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.288541698,-0.466666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.88636364,2.8977,space,55.26094918,5.4511,0,38,38,38,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,0.4012,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.2875,-0.505555556,1,0,0,RightButton,"[""RightButton""]",51,5.791,space,,,,,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,4.0533,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.297916651,-0.496296353,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,60,3.1398,space,39,4.6068,,,,,,0,40,40,40,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.3488,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.294791651,-0.518518575,1,0,0,LeftButton,"[""LeftButton""]",50,2.4974,space,,,,,,,,,,,,,,,0,41,41,41,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,0.5333,,,,,,,,,,,
